customerID,Churn,gender,IsSeniorCitizen,HasPartner,HasDependents,TenureMonths,HasPhoneService,MultipleLinesStatus,InternetServiceType,OnlineSecurityStatus,OnlineBackupStatus,DeviceProtectionStatus,TechSupportStatus,StreamingTVStatus,StreamingMoviesStatus,ContractType,IsPaperlessBilling,PaymentMethodType,MonthlyCharges,TotalCharges,DailyCharges
0018-NYROU,0,0,0,1,0,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,0.5044776119402985,0.03839141472420956,0.01657285190342636
0019-EFAEP,0,0,0,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,1,Bank transfer (automatic),0.8263681592039801,0.8357315947380568,0.027147442812220108
0019-GFNTW,0,0,0,0,0,56,0,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),0.2666666666666666,0.29324948072928686,0.00876040297853701
0020-INWCK,0,0,0,1,1,71,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,1,Credit card (automatic),0.7711442786069651,0.7882067851373182,0.025333254881963373
0020-JDNXP,0,0,0,1,1,34,0,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Mailed check,0.4278606965174129,0.2278329102238634,0.014055870450637742
0021-IKXGC,0,0,1,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,0.535820895522388,0.0061504731133164075,0.017602526134112614
0022-TCJCI,1,1,1,0,0,45,1,No,DSL,Yes,No,Yes,No,No,Yes,One year,0,Credit card (automatic),0.44228855721393034,0.319951534733441,0.014529847477461574
0023-HGHWL,1,1,1,0,0,1,0,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,0.0681592039800995,0.000726978998384491,0.002239132850857408
0023-UYUPN,0,0,1,1,0,50,1,Yes,No internet service,No,No,No,No,No,No,One year,0,Electronic check,0.06915422885572137,0.14856912070159242,0.002271820921672844
0023-XUOPT,1,0,0,1,0,13,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,0,Electronic check,0.7547263681592039,0.1381029309946919,0.02479390171350867
0027-KWYKW,0,0,0,1,1,23,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,0.6517412935323383,0.21130279252250175,0.021410686384110984
0030-FNXPP,0,0,0,0,0,3,1,No,No internet service,No,No,No,No,No,No,Month-to-month,0,Mailed check,0.015920398009950265,0.004431110085391184,0.0005230091330469864
0031-PVLZI,1,0,0,1,1,4,1,No,No internet service,No,No,No,No,No,No,Month-to-month,0,Mailed check,0.020895522388059695,0.006640895453496423,0.0006864494871241687
0032-PGELS,1,0,0,1,1,1,0,No,DSL,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),0.12189054726368159,0.001350103854142626,0.004004288674890985
0036-IHMOT,0,0,0,1,1,55,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),0.8502487562189055,0.6505827371336257,0.027931956511790586
0040-HALCW,0,1,0,1,1,54,1,No,No internet service,No,No,No,No,No,No,Two year,0,Credit card (automatic),0.021393034825870627,0.12367874451880914,0.0007027935225318865
0042-JVWOJ,0,1,0,0,0,26,1,No,No internet service,No,No,No,No,No,No,One year,1,Bank transfer (automatic),0.013432835820895522,0.05227902146318948,0.00044128895600839427
0042-RLHYP,0,0,0,1,1,69,1,No,No internet service,No,No,No,No,No,No,Two year,0,Bank transfer (automatic),0.014427860696517386,0.15902377105931229,0.00047397702682383
0048-LUMLS,0,1,0,1,1,37,1,No,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Credit card (automatic),0.7258706467661692,0.3725767366720517,0.02384594765986101
0048-PIHNL,0,0,0,1,0,49,1,No,No internet service,No,No,No,No,No,No,One year,0,Bank transfer (automatic),0.021890547263681587,0.10178859912300947,0.0007191375579396053
0052-DCKON,0,1,0,1,0,66,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),0.9706467661691541,0.9143030233094853,0.031887213080458415
0052-YNYOT,0,0,0,0,0,67,1,No,No internet service,No,No,No,No,No,No,One year,0,Electronic check,0.02288557213930348,0.15285021924763445,0.000751825628755042
0056-EPFBG,0,1,0,1,1,20,0,No,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),0.2104477611940298,0.09307639049157627,0.006913526977464842
0057-QBUQH,0,0,0,0,1,43,1,Yes,No internet service,No,No,No,No,No,No,Two year,1,Electronic check,0.0681592039800995,0.12131894761135474,0.002239132850857408
0058-EVZWM,0,0,0,1,0,55,1,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),0.7119402985074627,0.5701361643203324,0.023388314668444897
0060-FUALY,0,0,0,1,0,59,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,0.7611940298507462,0.6437629817678282,0.025006374173809007
0064-SUDOG,0,0,0,1,1,12,1,No,No internet service,No,No,No,No,No,No,Two year,0,Bank transfer (automatic),0.020398009950248763,0.02373644126471267,0.0006701054517164508
0064-YIJGF,0,1,0,1,1,27,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),0.572139303482587,0.22042464804985,0.01879564071887605
0067-DKWBL,1,1,1,0,0,2,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,0.30845771144278605,0.008342949457650586,0.01013330195278535
0068-FIGTF,0,0,0,0,0,27,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,0,Mailed check,0.5965174129353233,0.23772790214631895,0.01959649845385425
0071-NDAFP,0,1,0,1,1,25,1,Yes,No internet service,No,No,No,No,No,No,Two year,0,Credit card (automatic),0.07213930348258707,0.0705977382875606,0.0023698851341191545
0074-HDKDG,0,1,0,1,1,25,1,No,DSL,Yes,Yes,Yes,No,No,No,One year,1,Bank transfer (automatic),0.4313432835820895,0.18372951765520426,0.014170278698491771
0076-LVEPS,0,1,0,0,1,29,0,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,1,Mailed check,0.26616915422885573,0.14120124624971153,0.008744058943129294
0078-XZMHT,0,1,0,1,0,72,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),0.6656716417910448,0.7266789753057927,0.021868319375527093
0080-EMYVY,0,0,0,0,0,14,1,No,DSL,No,Yes,No,No,No,No,One year,0,Credit card (automatic),0.33034825870646767,0.08181975536579737,0.010852439510724956
0080-OROZO,0,0,0,0,0,35,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Electronic check,0.8059701492537313,0.4054004154165705,0.026477337360503655
0082-LDZUE,0,1,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,0.25920398009950246,0.002942534041080083,0.008515242447421236
0082-OQIQY,0,1,0,0,0,29,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,0.7557213930348259,0.2987306715901223,0.02482658978432411
0083-PIVIK,0,1,0,0,0,64,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,0,Electronic check,0.6268656716417911,0.6402896376644357,0.020593484613725066
0089-IIQKO,0,0,0,1,1,39,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),0.8129353233830846,0.4325640433879529,0.026706153856211712
0093-EXYQL,0,0,1,0,0,40,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,0.7293532338308457,0.4217401338564505,0.023960355907715034
0093-XWZFY,1,1,0,0,0,40,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),0.8582089552238806,0.46365681975536577,0.02819346107831408
0094-OIFMO,1,0,1,0,0,11,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,0.763681592039801,0.1271059312254789,0.025088094350847603
0096-BXERS,0,0,0,1,0,6,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,0.31940298507462683,0.03412762520193861,0.010492870731755151
0096-FCPUF,0,1,0,0,0,30,1,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,0.46019900497512434,0.21574544195707362,0.015118232752139433
0098-BOWSO,0,1,0,0,0,27,1,No,No internet service,No,No,No,No,No,No,Month-to-month,1,Electronic check,0.011442786069651711,0.05896607431340872,0.00037591281437752007
0100-DUVFC,0,1,1,1,0,70,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,0.8611940298507462,0.8412358642972536,0.028291525290760386
0103-CSITQ,0,0,0,1,0,57,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),0.9069651741293533,0.7193514885760443,0.029795176548270474
0104-PPXDV,0,1,0,1,0,58,1,No,DSL,No,No,Yes,No,No,No,One year,0,Credit card (automatic),0.3189054726368159,0.3299965381952458,0.010476526696347434
0106-GHRQR,0,1,0,0,0,16,1,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),0.5288557213930348,0.1376990537733672,0.01737370963840456
0106-UGRDO,0,0,0,1,0,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,0.9726368159203981,0.9420782367874453,0.031952589222089295
0107-WESLM,1,1,0,0,0,1,1,No,No internet service,No,No,No,No,No,No,Month-to-month,1,Electronic check,0.015920398009950265,0.00012116316639741503,0.0005230091330469864
0107-YHINA,1,1,0,0,1,1,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,0.8109452736318408,0.009341103161781675,0.02664077771458084
0111-KLBQG,0,1,1,1,1,32,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Mailed check,0.7532338308457711,0.32802330948534497,0.024744869607285516
0112-QAWRZ,0,1,0,1,1,16,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Bank transfer (automatic),0.7218905472636815,0.1642510962381722,0.02371519537659926
0112-QWPNC,1,1,0,1,0,49,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Electronic check,0.6577114427860695,0.46625317332102467,0.0216068148090036
0114-IGABW,0,0,0,1,0,71,0,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),0.3980099502487562,0.4762404800369259,0.013075228326174644
0114-PEGZZ,0,0,0,0,0,33,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,0.8885572139303483,0.41849757673667204,0.029190447238184897
0114-RSRRW,0,0,0,1,0,10,1,No,No internet service,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),0.01691542288557213,0.01949573044080314,0.0005556972038624221
0115-TFERT,1,1,0,1,0,21,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,0.9248756218905473,0.26520886222017076,0.03038356182294833
0117-LFRMW,1,1,0,1,1,37,0,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),0.218407960199005,0.1650126932840988,0.007175031543988337
0118-JPNOY,0,0,1,0,0,26,1,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),0.672139303482587,0.25096353565658897,0.02208079183582743
0121-SNYRK,0,1,0,0,0,50,0,No,DSL,Yes,No,No,Yes,No,No,One year,1,Mailed check,0.1706467661691542,0.19964228017539812,0.005606004144847378
0122-OAHPZ,1,0,0,0,0,7,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,0.553233830845771,0.05682552504038773,0.018174567373382754
0123-CRBRT,0,0,0,1,1,61,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,0.6950248756218904,0.6355815831987076,0.02283261746458247
0125-LZQXK,1,1,0,0,0,15,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,0.8268656716417909,0.17714631894761138,0.02716378684762782
0128-MKWSG,0,0,0,0,1,26,0,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Mailed check,0.2741293532338308,0.13018693745672744,0.009005563509652786
0129-KPTWJ,0,1,0,1,0,72,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,0.7601990049751244,0.7764308792984076,0.024973686102993574
0129-QMPDR,0,1,0,1,1,44,1,No,No internet service,No,No,No,No,No,No,One year,1,Bank transfer (automatic),0.02238805970149252,0.0976517424417263,0.0007354815933473232
0130-SXOUN,0,1,0,0,0,66,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Credit card (automatic),0.7079601990049752,0.6875259635356565,0.02325756238518315
0133-BMFZO,1,0,0,0,0,2,1,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,0.6766169154228856,0.01879183014078006,0.0222278881544969
0134-XWXCE,0,0,1,0,0,44,1,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),0.56318407960199,0.3749423032540965,0.01850144808153712
0135-NMXAP,1,0,0,0,0,12,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),0.7114427860696517,0.11927071313177938,0.023371970633037177
0136-IFMYD,0,1,1,1,0,69,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,0.9124378109452737,0.878773367182091,0.029974960937755375
0137-OCGAB,1,0,0,0,0,1,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,0.6164179104477612,0.0070851603969536115,0.020250259870162983
0137-UDEUO,1,0,0,0,0,3,1,No,No internet service,No,No,No,No,No,No,Month-to-month,0,Mailed check,0.015920398009950265,0.0051869374567274406,0.0005230091330469864
0139-IVFJG,0,0,0,1,0,2,1,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,0.717412935323383,0.019813062543272558,0.023568099057929795
0141-YEAYS,0,0,1,0,0,27,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),0.6786069651741293,0.27489614585737365,0.02229326429612777
0142-GVYSN,0,1,0,0,0,26,1,No,No internet service,No,No,No,No,No,No,Month-to-month,1,Electronic check,0.020398009950248763,0.05682552504038773,0.0006701054517164508
0147-ESWWR,0,0,1,1,0,39,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,0.8258706467661691,0.45353681052388645,0.027131098776812385
0148-DCDOS,1,1,0,0,0,25,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),0.7606965174129353,0.27040156935148857,0.02499003013840129
0151-ONTOV,1,0,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,0.5238805970149254,0.006012000923147936,0.017210269284327378
0156-FVPTA,1,1,0,1,0,22,1,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,1,Electronic check,0.3577114427860697,0.13084468036002772,0.011751361458149465
0164-APGRB,0,0,0,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,0.9616915422885571,0.9782944841910918,0.031593020443119485
0164-XAIRP,0,0,0,0,0,24,1,No,No internet service,No,No,No,No,No,No,Two year,1,Bank transfer (automatic),0.012935323383084563,0.052088622201707825,0.0004249449206006755
0168-XZKBB,0,0,0,1,0,19,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,0.6825870646766168,0.17835218093699517,0.022424016579389514
0174-QRVVY,0,1,0,1,1,71,1,Yes,No internet service,No,No,No,No,No,No,Two year,0,Credit card (automatic),0.07064676616915422,0.2110258481421648,0.002320853027895999
0177-PXBAT,0,1,1,1,0,33,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),0.9119402985074626,0.42417493653357946,0.029958616902347652
0178-CIIKR,0,0,0,0,0,3,1,No,No internet service,No,No,No,No,No,No,Month-to-month,0,Mailed check,0.01691542288557213,0.004523424878836834,0.0005556972038624221
0178-SZBHO,0,1,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,0.6860696517412935,0.4614181860143088,0.022538424827243546
0181-RITDD,0,1,0,1,1,62,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,0.8945273631840797,0.7854661897069005,0.029386575663077518
0186-CAERR,0,1,0,0,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),0.9756218905472637,0.9566985921993999,0.0320506534345356
0187-QSXOE,0,1,1,1,0,7,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,0.7039800995024875,0.06769559196861298,0.023126810101921403
0187-WZNAB,0,0,0,1,1,27,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,0.5587064676616916,0.22542695591968614,0.018354351762867663
0188-GWFLE,0,1,0,0,0,2,1,No,No internet service,No,No,No,No,No,No,Month-to-month,0,Mailed check,0.01791044776119402,0.0017193630279252253,0.0005883852746778588
0191-EQUUH,0,0,0,0,1,25,0,No,DSL,Yes,No,No,Yes,No,No,Two year,0,Bank transfer (automatic),0.16716417910447756,0.09527463651050082,0.0054915958969933495
0191-ZHSKZ,0,1,1,0,0,30,1,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,0.5621890547263682,0.24146088160627743,0.018468760010721685
0193-ESZXP,1,0,1,1,0,58,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,1,Credit card (automatic),0.8681592039800995,0.713904915762751,0.028520341786468444
0195-IESCP,1,1,0,1,0,10,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,0.6666666666666666,0.09652665589660743,0.02190100744634253
0196-JTUQI,0,0,0,0,0,9,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),0.5666666666666667,0.07097276713593355,0.01861585632939115
0196-VULGZ,1,0,1,1,0,6,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,0.6577114427860695,0.052630971613201016,0.0216068148090036
0197-PNKNK,0,0,0,1,1,69,1,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,0,Bank transfer (automatic),0.6587064676616915,0.6727209785368106,0.021639502879819035
0201-MIBOL,0,0,1,0,0,66,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,1,Bank transfer (automatic),0.8373134328358208,0.744639972305562,0.027507011591189907
0201-OAMXR,1,0,0,0,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),0.9681592039800994,0.9357027463651051,0.03180549290341982
0203-HHYIJ,1,1,0,0,0,25,1,Yes,No internet service,No,No,No,No,No,No,One year,0,Bank transfer (automatic),0.07014925373134329,0.07587699053773368,0.0023045089924882815
0206-OYVOC,0,0,0,1,1,46,1,No,No internet service,No,No,No,No,No,No,Two year,1,Mailed check,0.009950248756218888,0.0975536579736903,0.00032688070815436554
0206-TBWLC,0,0,0,1,0,54,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Mailed check,0.9592039800995026,0.6959035310408493,0.0315113002660809
0207-MDKNV,1,0,0,0,0,15,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,0,Electronic check,0.8641791044776118,0.18046965151165476,0.028389589503206695
0208-BPQEJ,0,0,0,1,1,12,1,No,No internet service,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),0.011442786069651711,0.02069005308100623,0.00037591281437752007
0212-ISBBF,0,0,0,0,0,22,0,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,0.31940298507462683,0.12463074082621739,0.010492870731755151
0214-JHPFW,0,0,0,1,0,70,0,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),0.3935323383084577,0.4639395338102931,0.012928132007505179
0215-BQKGS,0,1,0,0,0,30,1,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,1,Credit card (automatic),0.6572139303482587,0.2792291714747288,0.021590470773595882
0218-QNVAS,0,1,0,1,1,71,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,0,Bank transfer (automatic),0.8189054726368158,0.8187110546965152,0.026902282281104327
0219-QAERP,0,1,0,1,0,30,1,No,No internet service,No,No,No,No,No,No,One year,0,Credit card (automatic),0.015422885572139305,0.06437225940456959,0.0005066650976392675
0219-YTZUE,1,1,0,1,1,4,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),0.6621890547263681,0.04074544195707362,0.021753911127673064
0220-EBGCE,1,1,0,0,0,2,1,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,0.6726368159203979,0.017135933533348722,0.022097135871235147
0221-NAUXK,0,1,0,0,1,10,1,No,No internet service,No,No,No,No,No,No,One year,1,Bank transfer (automatic),0.01691542288557213,0.023159473805677358,0.0005556972038624221
0221-WMXNQ,0,1,1,0,0,4,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,0.5681592039800994,0.029379183014078002,0.018664888435614306
0222-CNVPT,0,1,1,0,0,52,0,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),0.3039800995024875,0.2926667435956612,0.009986205634115883
0224-HJAPT,1,1,0,0,0,5,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,0.28756218905472636,0.023580660050773136,0.00944685246566118
0224-NIJLP,0,1,0,1,1,8,1,No,No internet service,No,No,No,No,No,No,Two year,0,Mailed check,0.018905472636815884,0.016928225248096007,0.0006210733454932944
0224-RLWWD,0,0,1,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,0.25920398009950246,0.008135241172397875,0.008515242447421236
0225-ZORZP,0,1,0,0,0,3,1,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Electronic check,0.6572139303482587,0.024953842603277175,0.021590470773595882
0228-MAUWC,0,1,0,0,0,19,1,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Electronic check,0.41094527363184075,0.12990999307639048,0.01350017324677532
0229-LFJAF,0,1,0,0,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),0.5114427860696518,0.5642107085160397,0.01680166839913442
0230-UBYPQ,0,1,1,1,0,63,0,No,DSL,Yes,No,No,Yes,No,No,One year,0,Bank transfer (automatic),0.17761194029850746,0.26310870066928227,0.005834820640555435
0230-WEQUW,0,1,0,1,0,66,0,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Bank transfer (automatic),0.381592039800995,0.43507962150934687,0.01253587515771994
0231-LXVAP,1,1,0,0,0,1,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,0.5736318407960199,0.006588968382183245,0.018844672825099208
0233-FTHAV,0,0,0,0,0,60,1,Yes,Fiber optic,No,No,Yes,No,No,No,One year,1,Bank transfer (automatic),0.6064676616915423,0.547680590814678,0.019923379162008616
0234-TEVTT,0,0,0,1,1,48,0,No,DSL,Yes,No,Yes,No,No,Yes,One year,0,Credit card (automatic),0.26616915422885573,0.2512693284098777,0.008744058943129294
0235-KGSLC,1,0,0,0,0,1,1,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Credit card (automatic),0.6696517412935323,0.007702515578121394,0.02199907165878884
0236-HFWSV,1,1,0,0,0,15,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,0.7472636815920397,0.1645338102930995,0.024548741182392895
0237-YFUTL,0,0,0,1,0,50,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),0.9094527363184081,0.6216247403646434,0.029876896725309066
0238-WHBIQ,0,1,0,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),0.7109452736318408,0.7293445649665359,0.02335562659762946
0239-OXEXL,0,0,0,0,0,46,1,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,0.6567164179104478,0.4418186014308793,0.021574126738188166
0244-LGNFY,0,0,0,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),0.7402985074626866,0.7747749826909762,0.02431992468668484
0247-SLUJI,0,1,0,1,1,1,1,No,No internet service,No,No,No,No,No,No,Month-to-month,0,Mailed check,0.014427860696517386,0.00010385414262635562,0.00047397702682383
0248-IPDFW,0,0,0,0,0,1,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,0.3169154228855721,0.003611816293561043,0.01041115055471656
